f_Hz,absZdd_ohm,angZdd_deg,absZqq_ohm,angZqq_deg,absZdq_ohm,absZqd_ohm
0.1,3.99383,87.8153,3.82656,-85.5726,3.18263,39.4122
0.101823,3.92569,87.7229,3.75529,-85.544,3.18143,38.7101
0.103679,3.85882,87.6298,3.68523,-85.5136,3.18027,38.0206
0.105568,3.79321,87.5362,3.61637,-85.4816,3.17915,37.3435
0.107493,3.72884,87.442,3.5487,-85.4478,3.17807,36.6785
0.109452,3.66567,87.3471,3.48217,-85.4123,3.17703,36.0255
0.111447,3.6037,87.2515,3.41679,-85.375,3.17602,35.3842
0.113478,3.54291,87.1553,3.35251,-85.3359,3.17505,34.7544
0.115547,3.48326,87.0584,3.28933,-85.295,3.17412,34.1359
0.117653,3.42475,86.9608,3.22722,-85.2522,3.17321,33.5285
0.119797,3.36736,86.8624,3.16616,-85.2075,3.17234,32.9321
0.121981,3.31106,86.7633,3.10613,-85.1608,3.1715,32.3464
0.124204,3.25583,86.6634,3.04712,-85.1122,3.17069,31.7712
0.126468,3.20167,86.5628,2.98909,-85.0615,3.16991,31.2064
0.128773,3.14855,86.4613,2.93205,-85.0088,3.16915,30.6517
0.13112,3.09646,86.359,2.87596,-84.954,3.16843,30.107
0.13351,3.04537,86.2558,2.8208,-84.8971,3.16772,29.5721
0.135944,2.99527,86.1518,2.76657,-84.8379,3.16705,29.0469
0.138422,2.94615,86.047,2.71324,-84.7766,3.16639,28.5311
0.140945,2.89799,85.9412,2.6608,-84.7129,3.16576,28.0246
0.143514,2.85078,85.8346,2.60922,-84.6468,3.16515,27.5272
0.14613,2.80449,85.727,2.5585,-84.5784,3.16457,27.0388
0.148793,2.75911,85.6185,2.50861,-84.5074,3.164,26.5592
0.151505,2.71463,85.5091,2.45954,-84.434,3.16345,26.0883
0.154267,2.67103,85.3987,2.41127,-84.3579,3.16293,25.6259
0.157079,2.62831,85.2874,2.36379,-84.2791,3.16242,25.1718
0.159942,2.58644,85.1751,2.31709,-84.1975,3.16193,24.7259
0.162857,2.54541,85.0618,2.27114,-84.1131,3.16146,24.2881
0.165826,2.50521,84.9475,2.22593,-84.0258,3.161,23.8582
0.168848,2.46582,84.8323,2.18146,-83.9355,3.16056,23.4361
0.171926,2.42724,84.716,2.13769,-83.842,3.16014,23.0216
0.175059,2.38945,84.5988,2.09463,-83.7453,3.15973,22.6146
0.17825,2.35243,84.4805,2.05225,-83.6453,3.15933,22.215
0.181499,2.31618,84.3612,2.01055,-83.5418,3.15895,21.8226
0.184807,2.28069,84.241,1.9695,-83.4348,3.15858,21.4374
0.188176,2.24593,84.1197,1.9291,-83.3241,3.15823,21.0591
0.191606,2.21191,83.9974,1.88933,-83.2095,3.15789,20.6877
0.195098,2.1786,83.8741,1.85018,-83.091,3.15756,20.323
0.198654,2.146,83.7498,1.81165,-82.9684,3.15724,19.965
0.202275,2.1141,83.6245,1.7737,-82.8415,3.15693,19.6135
0.205962,2.08289,83.4982,1.73634,-82.7101,3.15664,19.2683
0.209716,2.05235,83.371,1.69955,-82.5741,3.15635,18.9295
0.213539,2.02248,83.2428,1.66332,-82.4333,3.15608,18.5968
0.217431,1.99327,83.1136,1.62764,-82.2874,3.15581,18.2701
0.221394,1.96471,82.9835,1.5925,-82.1364,3.15556,17.9495
0.22543,1.93678,82.8524,1.55789,-81.9798,3.15531,17.6347
0.229539,1.90948,82.7204,1.52379,-81.8175,3.15507,17.3256
0.233722,1.8828,82.5876,1.49019,-81.6492,3.15484,17.0222
0.237983,1.85673,82.4538,1.45709,-81.4747,3.15462,16.7243
0.24232,1.83126,82.3193,1.42447,-81.2935,3.15441,16.4319
0.246737,1.80639,82.1838,1.39233,-81.1055,3.1542,16.1448
0.251234,1.7821,82.0476,1.36066,-80.9103,3.15401,15.863
0.255814,1.75839,81.9106,1.32943,-80.7074,3.15381,15.5864
0.260477,1.73525,81.7729,1.29866,-80.4965,3.15363,15.3148
0.265224,1.71267,81.6344,1.26832,-80.2773,3.15345,15.0482
0.270059,1.69064,81.4953,1.23841,-80.0491,3.15328,14.7866
