SCR,maxRe_1/s
2,-14.5802
2.05063,-13.7312
2.10127,-12.9122
2.1519,-12.1223
2.20253,-11.3607
2.25316,-10.6267
2.3038,-9.91943
2.35443,-9.23814
2.40506,-8.58205
2.4557,-7.95036
2.50633,-7.34227
2.55696,-6.757
2.60759,-6.19373
2.65823,-5.65167
2.70886,-5.13002
2.75949,-4.628
2.81013,-4.14483
2.86076,-3.67976
2.91139,-3.23203
2.96203,-2.80094
3.01266,-2.38576
3.06329,-1.98583
3.11392,-1.60048
3.16456,-1.22908
3.21519,-0.871034
3.26582,-0.525747
3.31646,-0.192664
3.36709,0.128748
3.41772,0.439002
3.46835,0.738584
3.51899,1.02796
3.56962,1.30757
3.62025,1.57784
3.67089,1.83916
3.72152,2.09193
3.77215,2.33651
3.82278,2.57323
3.87342,2.80244
3.92405,3.02444
3.97468,3.23953
4.02532,3.448
4.07595,3.65011
4.12658,3.84613
4.17722,4.03629
4.22785,4.22083
4.27848,4.39996
4.32911,4.57391
4.37975,4.74287
4.43038,4.90704
4.48101,5.06659
4.53165,5.2217
4.58228,5.37253
4.63291,5.51925
4.68354,5.662
4.73418,5.80093
4.78481,5.93618
4.83544,6.06788
4.88608,6.19615
4.93671,6.32112
4.98734,6.44289
5.03797,6.56159
5.08861,6.67731
5.13924,6.79016
5.18987,6.90023
5.24051,7.00761
5.29114,7.1124
5.34177,7.21468
5.39241,7.31453
5.44304,7.41203
5.49367,7.50725
5.5443,7.60027
5.59494,7.69115
5.64557,7.77996
5.6962,7.86677
5.74684,7.95164
5.79747,8.03462
5.8481,8.11577
5.89873,8.19516
5.94937,8.27282
6,8.34881
