f_Hz,ReZdd_fpll30,ReZqq_fpll30,ReZdd_fpll100,ReZqq_fpll100
0.1,33.6456,-33.545,33.6456,-33.5453
0.101667,33.6456,-33.545,33.6456,-33.5453
0.103361,33.6456,-33.545,33.6456,-33.5453
0.105084,33.6456,-33.545,33.6456,-33.5453
0.106835,33.6456,-33.5449,33.6456,-33.5453
0.108616,33.6456,-33.5449,33.6456,-33.5453
0.110426,33.6456,-33.5449,33.6456,-33.5453
0.112267,33.6456,-33.5449,33.6457,-33.5453
0.114138,33.6456,-33.5449,33.6457,-33.5453
0.11604,33.6457,-33.5449,33.6457,-33.5453
0.117974,33.6457,-33.5448,33.6457,-33.5453
0.11994,33.6457,-33.5448,33.6457,-33.5453
0.121939,33.6457,-33.5448,33.6457,-33.5453
0.123972,33.6457,-33.5448,33.6457,-33.5453
0.126038,33.6457,-33.5448,33.6457,-33.5453
0.128138,33.6457,-33.5448,33.6457,-33.5453
0.130274,33.6457,-33.5447,33.6458,-33.5453
0.132445,33.6457,-33.5447,33.6458,-33.5453
0.134653,33.6458,-33.5447,33.6458,-33.5453
0.136897,33.6458,-33.5447,33.6458,-33.5453
0.139179,33.6458,-33.5446,33.6458,-33.5453
0.141498,33.6458,-33.5446,33.6458,-33.5453
0.143857,33.6458,-33.5446,33.6458,-33.5453
0.146254,33.6458,-33.5446,33.6459,-33.5453
0.148692,33.6458,-33.5445,33.6459,-33.5453
0.15117,33.6459,-33.5445,33.6459,-33.5453
0.15369,33.6459,-33.5445,33.6459,-33.5453
0.156251,33.6459,-33.5445,33.6459,-33.5453
0.158855,33.6459,-33.5444,33.6459,-33.5453
0.161503,33.6459,-33.5444,33.646,-33.5453
0.164195,33.6459,-33.5444,33.646,-33.5453
0.166931,33.646,-33.5443,33.646,-33.5453
0.169713,33.646,-33.5443,33.646,-33.5453
0.172542,33.646,-33.5443,33.646,-33.5453
0.175418,33.646,-33.5442,33.6461,-33.5453
0.178341,33.646,-33.5442,33.6461,-33.5453
0.181314,33.6461,-33.5441,33.6461,-33.5453
0.184336,33.6461,-33.5441,33.6461,-33.5453
0.187408,33.6461,-33.5441,33.6462,-33.5453
0.190531,33.6461,-33.544,33.6462,-33.5453
0.193707,33.6462,-33.544,33.6462,-33.5453
0.196935,33.6462,-33.5439,33.6462,-33.5453
0.200218,33.6462,-33.5439,33.6463,-33.5453
0.203555,33.6462,-33.5438,33.6463,-33.5453
0.206947,33.6463,-33.5438,33.6463,-33.5453
0.210396,33.6463,-33.5437,33.6464,-33.5453
0.213903,33.6463,-33.5437,33.6464,-33.5453
0.217468,33.6464,-33.5436,33.6464,-33.5453
0.221093,33.6464,-33.5435,33.6465,-33.5453
0.224778,33.6464,-33.5435,33.6465,-33.5453
0.228524,33.6465,-33.5434,33.6466,-33.5453
0.232333,33.6465,-33.5433,33.6466,-33.5453
0.236205,33.6466,-33.5433,33.6466,-33.5452
0.240142,33.6466,-33.5432,33.6467,-33.5452
0.244144,33.6466,-33.5431,33.6467,-33.5452
0.248213,33.6467,-33.5431,33.6468,-33.5452
0.25235,33.6467,-33.543,33.6468,-33.5452
0.256556,33.6468,-33.5429,33.6469,-33.5452
0.260832,33.6468,-33.5428,33.6469,-33.5452
0.265179,33.6469,-33.5427,33.647,-33.5452
0.269599,33.6469,-33.5426,33.647,-33.5452
0.274092,33.647,-33.5426,33.6471,-33.5452
0.27866,33.647,-33.5425,33.6471,-33.5452
0.283305,33.6471,-33.5424,33.6472,-33.5452
0.288026,33.6471,-33.5423,33.6473,-33.5452
0.292827,33.6472,-33.5422,33.6473,-33.5452
0.297707,33.6473,-33.5421,33.6474,-33.5452
0.302669,33.6473,-33.5419,33.6474,-33.5452
0.307714,33.6474,-33.5418,33.6475,-33.5452
0.312842,33.6474,-33.5417,33.6476,-33.5452
0.318056,33.6475,-33.5416,33.6477,-33.5452
0.323357,33.6476,-33.5415,33.6477,-33.5451
0.328747,33.6477,-33.5413,33.6478,-33.5451
0.334226,33.6477,-33.5412,33.6479,-33.5451
0.339796,33.6478,-33.541,33.648,-33.5451
0.34546,33.6479,-33.5409,33.6481,-33.5451
0.351217,33.648,-33.5408,33.6482,-33.5451
0.357071,33.6481,-33.5406,33.6483,-33.5451
0.363022,33.6482,-33.5404,33.6484,-33.5451
0.369073,33.6483,-33.5403,33.6485,-33.5451
0.375224,33.6484,-33.5401,33.6486,-33.5451
0.381478,33.6485,-33.5399,33.6487,-33.5451
0.387836,33.6486,-33.5397,33.6488,-33.545
0.3943,33.6487,-33.5395,33.6489,-33.545
0.400871,33.6488,-33.5394,33.649,-33.545
0.407553,33.6489,-33.5392,33.6491,-33.545
0.414345,33.649,-33.5389,33.6493,-33.545
0.421251,33.6491,-33.5387,33.6494,-33.545
0.428272,33.6493,-33.5385,33.6495,-33.545
0.43541,33.6494,-33.5383,33.6497,-33.545
0.442667,33.6495,-33.538,33.6498,-33.545
0.450044,33.6497,-33.5378,33.65,-33.5449
0.457545,33.6498,-33.5375,33.6501,-33.5449
0.465171,33.65,-33.5373,33.6503,-33.5449
0.472924,33.6501,-33.537,33.6504,-33.5449
0.480806,33.6503,-33.5367,33.6506,-33.5449
0.48882,33.6504,-33.5364,33.6508,-33.5449
0.496967,33.6506,-33.5361,33.651,-33.5448
0.505249,33.6508,-33.5358,33.6511,-33.5448
0.51367,33.651,-33.5355,33.6513,-33.5448
0.522232,33.6511,-33.5352,33.6515,-33.5448
0.530935,33.6513,-33.5348,33.6517,-33.5448
0.539784,33.6515,-33.5345,33.652,-33.5447
0.548781,33.6517,-33.5341,33.6522,-33.5447
0.557927,33.652,-33.5337,33.6524,-33.5447
0.567226,33.6522,-33.5333,33.6526,-33.5447
0.57668,33.6524,-33.5329,33.6529,-33.5447
0.586291,33.6526,-33.5325,33.6531,-33.5446
0.596063,33.6529,-33.5321,33.6534,-33.5446
0.605997,33.6531,-33.5316,33.6537,-33.5446
0.616097,33.6534,-33.5312,33.6539,-33.5446
0.626366,33.6537,-33.5307,33.6542,-33.5445
0.636805,33.6539,-33.5302,33.6545,-33.5445
0.647419,33.6542,-33.5297,33.6548,-33.5445
0.658209,33.6545,-33.5292,33.6551,-33.5444
0.669179,33.6548,-33.5286,33.6555,-33.5444
0.680332,33.6551,-33.528,33.6558,-33.5444
0.691671,33.6555,-33.5275,33.6562,-33.5443
0.703199,33.6558,-33.5269,33.6565,-33.5443
0.714919,33.6561,-33.5262,33.6569,-33.5443
0.726835,33.6565,-33.5256,33.6573,-33.5442
0.738949,33.6569,-33.5249,33.6577,-33.5442
0.751265,33.6573,-33.5243,33.6581,-33.5442
0.763786,33.6577,-33.5235,33.6585,-33.5441
0.776516,33.6581,-33.5228,33.6589,-33.5441
0.789458,33.6585,-33.5221,33.6594,-33.544
0.802615,33.6589,-33.5213,33.6599,-33.544
0.815992,33.6594,-33.5205,33.6603,-33.5439
0.829592,33.6598,-33.5196,33.6608,-33.5439
0.843419,33.6603,-33.5188,33.6614,-33.5438
0.857476,33.6608,-33.5179,33.6619,-33.5438
0.871767,33.6613,-33.5169,33.6624,-33.5437
0.886297,33.6619,-33.516,33.663,-33.5437
0.901069,33.6624,-33.515,33.6636,-33.5436
0.916087,33.663,-33.514,33.6642,-33.5436
0.931355,33.6635,-33.5129,33.6648,-33.5435
0.946878,33.6641,-33.5118,33.6655,-33.5434
0.962659,33.6648,-33.5107,33.6661,-33.5434
0.978703,33.6654,-33.5095,33.6668,-33.5433
0.995015,33.6661,-33.5083,33.6675,-33.5432
1.0116,33.6668,-33.5071,33.6683,-33.5432
1.02846,33.6675,-33.5058,33.669,-33.5431
1.0456,33.6682,-33.5045,33.6698,-33.543
1.06303,33.6689,-33.5031,33.6706,-33.5429
1.08074,33.6697,-33.5017,33.6714,-33.5428
1.09876,33.6705,-33.5002,33.6723,-33.5428
1.11707,33.6713,-33.4987,33.6732,-33.5427
1.13569,33.6722,-33.4971,33.6741,-33.5426
1.15462,33.6731,-33.4955,33.675,-33.5425
1.17386,33.674,-33.4938,33.676,-33.5424
1.19342,33.6749,-33.4921,33.677,-33.5423
1.21331,33.6759,-33.4903,33.6781,-33.5422
1.23354,33.6769,-33.4885,33.6791,-33.5421
1.2541,33.6779,-33.4865,33.6803,-33.5419
1.275,33.679,-33.4846,33.6814,-33.5418
1.29625,33.6801,-33.4825,33.6826,-33.5417
1.31785,33.6812,-33.4804,33.6838,-33.5416
1.33982,33.6824,-33.4782,33.6851,-33.5414
1.36215,33.6836,-33.476,33.6863,-33.5413
1.38485,33.6848,-33.4737,33.6877,-33.5412
1.40793,33.6861,-33.4712,33.6891,-33.541
1.4314,33.6874,-33.4688,33.6905,-33.5409
1.45525,33.6888,-33.4662,33.692,-33.5407
1.47951,33.6902,-33.4635,33.6935,-33.5406
1.50417,33.6916,-33.4608,33.695,-33.5404
1.52923,33.6931,-33.4579,33.6966,-33.5402
1.55472,33.6947,-33.455,33.6983,-33.54
1.58063,33.6962,-33.452,33.7,-33.5399
1.60698,33.6979,-33.4488,33.7018,-33.5397
1.63376,33.6996,-33.4456,33.7036,-33.5395
1.66099,33.7013,-33.4422,33.7055,-33.5393
1.68867,33.7031,-33.4388,33.7074,-33.539
1.71682,33.7049,-33.4352,33.7094,-33.5388
1.74543,33.7068,-33.4315,33.7115,-33.5386
1.77452,33.7088,-33.4277,33.7136,-33.5384
1.8041,33.7108,-33.4237,33.7158,-33.5381
1.83417,33.7128,-33.4196,33.718,-33.5378
1.86474,33.715,-33.4154,33.7203,-33.5376
1.89582,33.7172,-33.4111,33.7227,-33.5373
1.92741,33.7194,-33.4066,33.7252,-33.537
1.95954,33.7218,-33.4019,33.7277,-33.5367
1.9922,33.7241,-33.3971,33.7303,-33.5364
2.0254,33.7266,-33.3921,33.733,-33.5361
2.05916,33.7291,-33.387,33.7357,-33.5358
2.09348,33.7317,-33.3817,33.7386,-33.5354
2.12837,33.7344,-33.3762,33.7415,-33.5351
2.16384,33.7372,-33.3705,33.7445,-33.5347
2.19991,33.74,-33.3646,33.7476,-33.5343
2.23657,33.7429,-33.3586,33.7508,-33.5339
2.27385,33.7459,-33.3523,33.7541,-33.5335
2.31174,33.749,-33.3458,33.7574,-33.5331
2.35027,33.7521,-33.3391,33.7609,-33.5326
2.38945,33.7554,-33.3322,33.7645,-33.5322
2.42927,33.7587,-33.3251,33.7681,-33.5317
2.46976,33.7621,-33.3177,33.7719,-33.5312
2.51092,33.7656,-33.3101,33.7758,-33.5307
2.55277,33.7692,-33.3022,33.7797,-33.5302
2.59532,33.7729,-33.294,33.7838,-33.5296
2.63857,33.7767,-33.2856,33.788,-33.529
2.68255,33.7806,-33.2769,33.7923,-33.5284
2.72726,33.7846,-33.2679,33.7967,-33.5278
2.77271,33.7886,-33.2586,33.8013,-33.5271
2.81892,33.7928,-33.249,33.8059,-33.5265
2.86591,33.7971,-33.2391,33.8107,-33.5258
2.91367,33.8015,-33.2289,33.8156,-33.525
2.96223,33.806,-33.2183,33.8206,-33.5243
3.0116,33.8106,-33.2073,33.8258,-33.5235
3.0618,33.8153,-33.196,33.831,-33.5227
3.11283,33.8201,-33.1843,33.8364,-33.5218
3.16471,33.825,-33.1723,33.842,-33.521
3.21746,33.83,-33.1598,33.8477,-33.52
3.27108,33.8351,-33.1469,33.8535,-33.5191
3.3256,33.8404,-33.1336,33.8594,-33.5181
3.38103,33.8457,-33.1198,33.8655,-33.5171
3.43738,33.8512,-33.1056,33.8717,-33.516
3.49467,33.8567,-33.0909,33.8781,-33.5149
3.55291,33.8624,-33.0758,33.8846,-33.5137
3.61213,33.8682,-33.0601,33.8912,-33.5125
3.67233,33.8741,-33.0439,33.898,-33.5112
3.73353,33.88,-33.0272,33.905,-33.5099
3.79576,33.8861,-33.0099,33.912,-33.5085
3.85902,33.8923,-32.9921,33.9193,-33.5071
3.92334,33.8987,-32.9737,33.9266,-33.5056
3.98873,33.9051,-32.9546,33.9342,-33.5041
4.05521,33.9116,-32.935,33.9418,-33.5025
4.1228,33.9182,-32.9147,33.9496,-33.5008
4.19151,33.9249,-32.8937,33.9576,-33.4991
4.26137,33.9316,-32.8721,33.9657,-33.4973
4.33239,33.9385,-32.8497,33.974,-33.4954
4.4046,33.9455,-32.8267,33.9823,-33.4934
4.47801,33.9525,-32.8028,33.9909,-33.4914
4.55264,33.9596,-32.7782,33.9996,-33.4892
4.62852,33.9668,-32.7528,34.0084,-33.487
4.70567,33.9741,-32.7266,34.0173,-33.4847
4.78409,33.9814,-32.6995,34.0264,-33.4823
4.86383,33.9887,-32.6716,34.0356,-33.4798
4.94489,33.9962,-32.6427,34.045,-33.4771
5.02731,34.0036,-32.6129,34.0544,-33.4744
5.1111,34.0111,-32.5822,34.064,-33.4716
5.19628,34.0186,-32.5505,34.0737,-33.4686
5.28289,34.0262,-32.5178,34.0835,-33.4655
5.37094,34.0337,-32.484,34.0935,-33.4623
5.46045,34.0413,-32.4491,34.1035,-33.459
5.55146,34.0489,-32.4132,34.1137,-33.4555
5.64399,34.0564,-32.3761,34.1239,-33.4518
5.73805,34.0639,-32.3379,34.1342,-33.4481
5.83369,34.0714,-32.2984,34.1446,-33.4441
5.93092,34.0789,-32.2578,34.1551,-33.44
6.02977,34.0863,-32.2158,34.1657,-33.4357
6.13026,34.0936,-32.1726,34.1763,-33.4313
6.23244,34.1009,-32.128,34.187,-33.4266
6.33631,34.108,-32.0821,34.1977,-33.4218
6.44192,34.1151,-32.0347,34.2085,-33.4168
6.54928,34.122,-31.9859,34.2193,-33.4115
6.65844,34.1289,-31.9356,34.2301,-33.4061
6.76941,34.1355,-31.8838,34.241,-33.4004
6.88224,34.1421,-31.8304,34.2518,-33.3945
6.99694,34.1484,-31.7755,34.2627,-33.3884
7.11356,34.1546,-31.7188,34.2735,-33.3819
7.23212,34.1606,-31.6606,34.2844,-33.3753
7.35265,34.1663,-31.6006,34.2952,-33.3684
7.4752,34.1719,-31.5388,34.3059,-33.3611
7.59979,34.1772,-31.4752,34.3167,-33.3536
7.72645,34.1822,-31.4099,34.3273,-33.3458
7.85522,34.187,-31.3426,34.3379,-33.3377
7.98615,34.1915,-31.2734,34.3484,-33.3293
8.11925,34.1956,-31.2022,34.3589,-33.3205
8.25457,34.1995,-31.1291,34.3692,-33.3113
8.39215,34.203,-31.0539,34.3794,-33.3019
8.53202,34.2062,-30.9766,34.3895,-33.292
8.67422,34.209,-30.8972,34.3994,-33.2817
8.81879,34.2114,-30.8156,34.4092,-33.2711
8.96577,34.2134,-30.7318,34.4188,-33.26
9.1152,34.2151,-30.6458,34.4283,-33.2485
9.26712,34.2163,-30.5575,34.4376,-33.2366
9.42158,34.217,-30.4669,34.4467,-33.2242
9.5786,34.2173,-30.3739,34.4556,-33.2113
9.73825,34.2172,-30.2785,34.4643,-33.1979
9.90055,34.2165,-30.1807,34.4727,-33.1841
10.0656,34.2154,-30.0804,34.4809,-33.1697
