Pcpl_kW,maxRe_Cdc2mF,maxRe_Cdc5mF,maxRe_Cdc10mF
20,-42.1851,-46.874,-48.437
22.7731,-41.1011,-46.4404,-48.2202
25.5462,-40.017,-46.0068,-48.0034
28.3193,-38.9329,-45.5731,-47.7866
31.0924,-37.8486,-45.1394,-47.5697
33.8655,-36.7643,-44.7057,-47.3529
36.6387,-35.6798,-44.2719,-47.136
39.4118,-34.5953,-43.8381,-46.9191
42.1849,-33.5107,-43.4043,-46.7021
44.958,-32.4259,-42.9704,-46.4852
47.7311,-31.3411,-42.5364,-46.2682
50.5042,-30.2562,-42.1025,-46.0512
53.2773,-29.1712,-41.6685,-45.8342
56.0504,-28.0861,-41.2344,-45.6172
58.8235,-27.0009,-40.8004,-45.4002
61.5966,-25.9156,-40.3663,-45.1831
64.3697,-24.8302,-39.9321,-44.966
67.1429,-23.7448,-39.4979,-44.749
69.916,-22.6592,-39.0637,-44.5318
72.6891,-21.5735,-38.6294,-44.3147
75.4622,-20.4878,-38.1951,-44.0976
78.2353,-19.4019,-37.7608,-43.8804
81.0084,-18.316,-37.3264,-43.6632
83.7815,-17.2299,-36.892,-43.446
86.5546,-16.1438,-36.4575,-43.2288
89.3277,-15.0576,-36.023,-43.0115
92.1008,-13.9712,-35.5885,-42.7942
94.8739,-12.8848,-35.1539,-42.577
97.6471,-11.7983,-34.7193,-42.3597
100.42,-10.7117,-34.2847,-42.1423
103.193,-9.625,-33.85,-41.925
105.966,-8.5382,-33.4153,-41.7076
108.739,-7.45131,-32.9805,-41.4903
111.513,-6.36433,-32.5457,-41.2729
114.286,-5.27725,-32.1109,-41.0554
117.059,-4.19007,-31.676,-40.838
119.832,-3.1028,-31.2411,-40.6206
122.605,-2.01544,-30.8062,-40.4031
125.378,-0.927979,-30.3712,-40.1856
128.151,0.159574,-29.9362,-39.9681
130.924,1.24722,-29.5011,-39.7506
133.697,2.33496,-29.066,-39.533
136.471,3.4228,-28.6309,-39.3154
139.244,4.51073,-28.1957,-39.0979
142.017,5.59876,-27.7605,-38.8802
144.79,6.68688,-27.3252,-38.6626
147.563,7.77509,-26.89,-38.445
150.336,8.8634,-26.4546,-38.2273
153.109,9.95181,-26.0193,-38.0096
155.882,11.0403,-25.5839,-37.7919
158.655,12.1289,-25.1484,-37.5742
161.429,13.2176,-24.713,-37.3565
164.202,14.3064,-24.2774,-37.1387
166.975,15.3953,-23.8419,-36.9209
169.748,16.4842,-23.4063,-36.7032
172.521,17.5733,-22.9707,-36.4853
175.294,18.6625,-22.535,-36.2675
178.067,19.7517,-22.0993,-36.0497
180.84,20.8411,-21.6636,-35.8318
183.613,21.9305,-21.2278,-35.6139
186.387,23.0201,-20.792,-35.396
189.16,24.1097,-20.3561,-35.1781
191.933,25.1994,-19.9202,-34.9601
194.706,26.2893,-19.4843,-34.7421
197.479,27.3792,-19.0483,-34.5242
200.252,28.4692,-18.6123,-34.3062
203.025,29.5593,-18.1763,-34.0881
205.798,30.6495,-17.7402,-33.8701
208.571,31.7398,-17.3041,-33.652
211.345,32.8302,-16.8679,-33.434
214.118,33.9207,-16.4317,-33.2159
216.891,35.0113,-15.9955,-32.9977
219.664,36.102,-15.5592,-32.7796
222.437,37.1928,-15.1229,-32.5614
225.21,38.2836,-14.6865,-32.3433
227.983,39.3746,-14.2502,-32.1251
230.756,40.4657,-13.8137,-31.9069
233.529,41.5568,-13.3773,-31.6886
236.303,42.6481,-12.9408,-31.4704
239.076,43.7394,-12.5042,-31.2521
241.849,44.8309,-12.0677,-31.0338
244.622,45.9224,-11.631,-30.8155
247.395,47.014,-11.1944,-30.5972
250.168,48.1058,-10.7577,-30.3788
252.941,49.1976,-10.321,-30.1605
255.714,50.2895,-9.8842,-29.9421
258.487,51.3815,-9.44739,-29.7237
261.261,52.4736,-9.01055,-29.5053
264.034,53.5658,-8.57367,-29.2868
266.807,54.6581,-8.13675,-29.0684
269.58,55.7505,-7.69979,-28.8499
272.353,56.843,-7.26279,-28.6314
275.126,57.9356,-6.82575,-28.4129
277.899,59.0283,-6.38868,-28.1943
280.672,60.1211,-5.95157,-27.9758
283.445,61.2139,-5.51442,-27.7572
286.218,62.3069,-5.07723,-27.5386
288.992,63.4,-4.64001,-27.32
291.765,64.4931,-4.20274,-27.1014
294.538,65.5864,-3.76544,-26.8827
297.311,66.6797,-3.3281,-26.6641
300.084,67.7732,-2.89072,-26.4454
302.857,68.8667,-2.45331,-26.2267
305.63,69.9604,-2.01585,-26.0079
308.403,71.0541,-1.57836,-25.7892
311.176,72.1479,-1.14083,-25.5704
313.95,73.2419,-0.703257,-25.3516
316.723,74.3359,-0.265649,-25.1328
319.496,75.43,0.171997,-24.914
322.269,76.5242,0.609682,-24.6952
325.042,77.6185,1.0474,-24.4763
327.815,78.7129,1.48517,-24.2574
330.588,79.8074,1.92296,-24.0385
333.361,80.902,2.3608,-23.8196
336.134,81.9967,2.79868,-23.6007
338.908,83.0915,3.23659,-23.3817
341.681,84.1864,3.67455,-23.1627
344.454,85.2813,4.11254,-22.9437
347.227,86.3764,4.55057,-22.7247
350,87.4716,4.98863,-22.5057
