f_Hz,absZfuente_ohm
10,0.00590738
10.1014,0.00592444
10.2038,0.0059418
10.3072,0.00595946
10.4117,0.00597742
10.5173,0.0059957
10.6239,0.00601429
10.7316,0.00603321
10.8404,0.00605244
10.9503,0.00607201
11.0613,0.00609192
11.1734,0.00611216
11.2867,0.00613275
11.4011,0.00615368
11.5167,0.00617497
11.6334,0.00619662
11.7513,0.00621864
11.8705,0.00624102
11.9908,0.00626378
12.1124,0.00628692
12.2352,0.00631045
12.3592,0.00633436
12.4845,0.00635867
12.611,0.00638338
12.7389,0.0064085
12.868,0.00643403
12.9985,0.00645998
13.1302,0.00648635
13.2634,0.00651315
13.3978,0.00654039
13.5336,0.00656806
13.6708,0.00659618
13.8094,0.00662475
13.9494,0.00665378
14.0908,0.00668328
14.2337,0.00671324
14.378,0.00674368
14.5237,0.00677459
14.6709,0.006806
14.8197,0.0068379
14.9699,0.0068703
15.1217,0.00690321
15.275,0.00693662
15.4298,0.00697056
15.5862,0.00700502
15.7442,0.00704001
15.9038,0.00707554
16.0651,0.00711161
16.2279,0.00714824
16.3924,0.00718542
16.5586,0.00722316
16.7265,0.00726147
16.896,0.00730037
17.0673,0.00733984
17.2403,0.00737991
17.4151,0.00742057
17.5917,0.00746184
17.77,0.00750371
17.9501,0.00754621
18.1321,0.00758933
18.3159,0.00763308
18.5016,0.00767748
18.6891,0.00772252
18.8786,0.00776821
19.07,0.00781456
19.2633,0.00786158
19.4586,0.00790928
19.6559,0.00795766
19.8551,0.00800673
20.0564,0.0080565
20.2597,0.00810698
20.4651,0.00815817
20.6726,0.00821008
20.8821,0.00826271
21.0938,0.00831609
21.3077,0.00837021
21.5237,0.00842508
21.7419,0.00848071
21.9623,0.00853711
22.1849,0.00859429
22.4098,0.00865225
22.637,0.00871101
22.8665,0.00877056
23.0983,0.00883093
23.3324,0.00889211
23.569,0.00895412
23.8079,0.00901697
24.0492,0.00908066
24.293,0.0091452
24.5393,0.0092106
24.7881,0.00927688
25.0394,0.00934403
25.2932,0.00941207
25.5496,0.00948101
25.8086,0.00955085
26.0702,0.00962161
26.3345,0.0096933
26.6015,0.00976592
26.8712,0.00983948
27.1436,0.009914
27.4187,0.00998948
27.6967,0.0100659
27.9775,0.0101434
28.2611,0.0102218
28.5476,0.0103012
28.837,0.0103817
29.1293,0.0104631
29.4246,0.0105456
29.7229,0.0106292
30.0242,0.0107138
30.3286,0.0107994
30.6361,0.0108862
30.9466,0.010974
31.2603,0.0110629
31.5772,0.011153
31.8974,0.0112441
32.2207,0.0113364
32.5474,0.0114299
32.8773,0.0115244
33.2106,0.0116202
33.5473,0.0117171
33.8873,0.0118152
34.2309,0.0119146
34.5779,0.0120151
34.9284,0.0121169
35.2825,0.0122199
35.6402,0.0123241
36.0015,0.0124297
36.3664,0.0125365
36.7351,0.0126446
37.1075,0.012754
37.4837,0.0128647
37.8637,0.0129768
38.2475,0.0130902
38.6353,0.0132049
39.0269,0.0133211
39.4225,0.0134386
39.8222,0.0135575
40.2259,0.0136779
40.6337,0.0137996
41.0456,0.0139229
41.4617,0.0140475
41.882,0.0141737
42.3066,0.0143014
42.7355,0.0144306
43.1687,0.0145613
43.6063,0.0146935
44.0484,0.0148273
44.4949,0.0149627
44.946,0.0150997
45.4016,0.0152383
45.8619,0.0153785
46.3268,0.0155203
46.7964,0.0156639
47.2708,0.0158091
47.75,0.015956
48.2341,0.0161046
48.7231,0.016255
49.217,0.0164071
49.7159,0.016561
50.2199,0.0167168
50.729,0.0168743
51.2433,0.0170336
51.7628,0.0171949
52.2875,0.017358
52.8176,0.017523
53.353,0.0176899
53.8939,0.0178588
54.4402,0.0180296
54.9921,0.0182025
55.5496,0.0183773
56.1127,0.0185542
56.6816,0.0187332
57.2562,0.0189142
57.8366,0.0190974
58.4229,0.0192827
