t_s,f_Hz_H1s,f_Hz_H3s,f_Hz_H6s
0,50,50,50
0.00050025,50.0006,50.0002,50.0001
0.0010005,50.0012,50.0004,50.0002
0.00150075,50.0018,50.0006,50.0003
0.002001,50.0025,50.0008,50.0004
0.00250125,50.003,50.001,50.0005
0.0030015,50.0036,50.0012,50.0006
0.00350175,50.0042,50.0014,50.0007
0.004002,50.0048,50.0016,50.0008
0.00450225,50.0053,50.0018,50.0009
0.0050025,50.0059,50.002,50.001
0.00550275,50.0064,50.0022,50.0011
0.006003,50.007,50.0024,50.0012
0.00650325,50.0075,50.0026,50.0013
0.0070035,50.0081,50.0028,50.0014
0.00750375,50.0086,50.003,50.0015
0.008004,50.0091,50.0032,50.0016
0.00850425,50.0096,50.0034,50.0017
0.0090045,50.0101,50.0036,50.0018
0.00950475,50.0106,50.0038,50.0019
0.010005,50.0111,50.004,50.002
0.0105053,50.0116,50.0042,50.0021
0.0110055,50.0121,50.0044,50.0022
0.0115058,50.0125,50.0046,50.0023
0.012006,50.013,50.0048,50.0024
0.0125063,50.0135,50.005,50.0025
0.0130065,50.0139,50.0052,50.0026
0.0135068,50.0144,50.0053,50.0027
0.014007,50.0148,50.0055,50.0028
0.0145073,50.0153,50.0057,50.0029
0.0150075,50.0157,50.0059,50.003
0.0155078,50.0161,50.0061,50.0031
0.016008,50.0165,50.0063,50.0032
0.0165083,50.0169,50.0064,50.0033
0.0170085,50.0174,50.0066,50.0034
0.0175088,50.0178,50.0068,50.0035
0.018009,50.0182,50.007,50.0036
0.0185093,50.0186,50.0072,50.0037
0.0190095,50.019,50.0073,50.0038
0.0195098,50.0193,50.0075,50.0039
0.02001,50.0197,50.0077,50.004
0.0205103,50.0201,50.0079,50.0041
0.0210105,50.0205,50.008,50.0042
0.0215108,50.0208,50.0082,50.0043
0.022011,50.0212,50.0084,50.0044
0.0225113,50.0216,50.0086,50.0045
0.0230115,50.0219,50.0087,50.0046
0.0235118,50.0223,50.0089,50.0047
0.024012,50.0226,50.0091,50.0048
0.0245123,50.0229,50.0093,50.0049
0.0250125,50.0233,50.0094,50.005
0.0255128,50.0236,50.0096,50.0051
0.026013,50.0239,50.0098,50.0051
0.0265133,50.0243,50.0099,50.0052
0.0270135,50.0246,50.0101,50.0053
0.0275138,50.0249,50.0103,50.0054
0.028014,50.0252,50.0104,50.0055
0.0285143,50.0255,50.0106,50.0056
0.0290145,50.0258,50.0108,50.0057
0.0295148,50.0261,50.0109,50.0058
0.030015,50.0264,50.0111,50.0059
0.0305153,50.0267,50.0112,50.006
0.0310155,50.027,50.0114,50.0061
0.0315158,50.0273,50.0116,50.0062
0.032016,50.0276,50.0117,50.0063
0.0325163,50.0278,50.0119,50.0063
0.0330165,50.0281,50.012,50.0064
0.0335168,50.0284,50.0122,50.0065
0.034017,50.0287,50.0124,50.0066
0.0345173,50.0289,50.0125,50.0067
0.0350175,50.0292,50.0127,50.0068
0.0355178,50.0294,50.0128,50.0069
0.036018,50.0297,50.013,50.007
0.0365183,50.03,50.0131,50.0071
0.0370185,50.0302,50.0133,50.0072
0.0375188,50.0304,50.0134,50.0072
0.038019,50.0307,50.0136,50.0073
0.0385193,50.0309,50.0137,50.0074
0.0390195,50.0312,50.0139,50.0075
0.0395198,50.0314,50.014,50.0076
0.04002,50.0316,50.0142,50.0077
0.0405203,50.0319,50.0143,50.0078
0.0410205,50.0321,50.0145,50.0079
0.0415208,50.0323,50.0146,50.0079
0.042021,50.0325,50.0148,50.008
0.0425213,50.0327,50.0149,50.0081
0.0430215,50.033,50.0151,50.0082
0.0435218,50.0332,50.0152,50.0083
0.044022,50.0334,50.0154,50.0084
0.0445223,50.0336,50.0155,50.0085
0.0450225,50.0338,50.0156,50.0086
0.0455228,50.034,50.0158,50.0086
0.046023,50.0342,50.0159,50.0087
0.0465233,50.0344,50.0161,50.0088
0.0470235,50.0346,50.0162,50.0089
0.0475238,50.0348,50.0164,50.009
0.048024,50.0349,50.0165,50.0091
0.0485243,50.0351,50.0166,50.0092
0.0490245,50.0353,50.0168,50.0092
0.0495248,50.0355,50.0169,50.0093
0.050025,50.0357,50.017,50.0094
0.0505253,50.0359,50.0172,50.0095
0.0510255,50.036,50.0173,50.0096
0.0515258,50.0362,50.0175,50.0097
0.052026,50.0364,50.0176,50.0097
0.0525263,50.0365,50.0177,50.0098
0.0530265,50.0367,50.0179,50.0099
0.0535268,50.0369,50.018,50.01
0.054027,50.037,50.0181,50.0101
0.0545273,50.0372,50.0183,50.0102
0.0550275,50.0374,50.0184,50.0102
0.0555278,50.0375,50.0185,50.0103
0.056028,50.0377,50.0187,50.0104
0.0565283,50.0378,50.0188,50.0105
0.0570285,50.038,50.0189,50.0106
0.0575288,50.0381,50.019,50.0107
0.058029,50.0383,50.0192,50.0107
0.0585293,50.0384,50.0193,50.0108
0.0590295,50.0386,50.0194,50.0109
0.0595298,50.0387,50.0196,50.011
0.06003,50.0388,50.0197,50.0111
0.0605303,50.039,50.0198,50.0111
0.0610305,50.0391,50.0199,50.0112
0.0615308,50.0392,50.0201,50.0113
0.062031,50.0394,50.0202,50.0114
0.0625313,50.0395,50.0203,50.0115
0.0630315,50.0396,50.0204,50.0115
0.0635318,50.0398,50.0205,50.0116
0.064032,50.0399,50.0207,50.0117
0.0645323,50.04,50.0208,50.0118
0.0650325,50.0401,50.0209,50.0119
0.0655328,50.0403,50.021,50.0119
0.066033,50.0404,50.0212,50.012
0.0665333,50.0405,50.0213,50.0121
0.0670335,50.0406,50.0214,50.0122
0.0675338,50.0407,50.0215,50.0123
0.068034,50.0408,50.0216,50.0123
0.0685343,50.041,50.0217,50.0124
0.0690345,50.0411,50.0219,50.0125
0.0695348,50.0412,50.022,50.0126
0.070035,50.0413,50.0221,50.0127
0.0705353,50.0414,50.0222,50.0127
0.0710355,50.0415,50.0223,50.0128
0.0715358,50.0416,50.0224,50.0129
0.072036,50.0417,50.0226,50.013
0.0725363,50.0418,50.0227,50.013
0.0730365,50.0419,50.0228,50.0131
0.0735368,50.042,50.0229,50.0132
0.074037,50.0421,50.023,50.0133
0.0745373,50.0422,50.0231,50.0133
0.0750375,50.0423,50.0232,50.0134
0.0755378,50.0424,50.0233,50.0135
0.076038,50.0425,50.0235,50.0136
0.0765383,50.0426,50.0236,50.0136
0.0770385,50.0427,50.0237,50.0137
0.0775388,50.0428,50.0238,50.0138
0.078039,50.0429,50.0239,50.0139
0.0785393,50.0429,50.024,50.0139
0.0790395,50.043,50.0241,50.014
0.0795398,50.0431,50.0242,50.0141
0.08004,50.0432,50.0243,50.0142
0.0805403,50.0433,50.0244,50.0142
0.0810405,50.0434,50.0245,50.0143
0.0815408,50.0434,50.0246,50.0144
0.082041,50.0435,50.0247,50.0145
0.0825413,50.0436,50.0249,50.0145
0.0830415,50.0437,50.025,50.0146
0.0835418,50.0438,50.0251,50.0147
0.084042,50.0438,50.0252,50.0148
0.0845423,50.0439,50.0253,50.0148
0.0850425,50.044,50.0254,50.0149
0.0855428,50.0441,50.0255,50.015
