t_s,Vdc_V_Cdc4mF,Vdc_V_Cdc8mF,Vdc_V_Cdc16mF
0,800,800,800
0.00050025,799.652,799.817,799.906
0.0010005,799.006,799.384,799.658
0.00150075,798.789,798.962,799.337
0.002001,799.227,798.797,799.041
0.00250125,799.815,798.974,798.857
0.0030015,799.898,799.377,798.836
0.00350175,799.398,799.762,798.976
0.004002,798.887,799.907,799.228
0.00450225,798.932,799.736,799.513
0.0050025,799.466,799.362,799.744
0.00550275,799.883,799.01,799.855
0.006003,799.724,798.883,799.818
0.00650325,799.182,799.048,799.65
0.0070035,798.87,799.396,799.408
0.00750375,799.127,799.717,799.166
0.008004,799.65,799.827,798.997
0.00850425,799.852,799.669,798.948
0.0090045,799.519,799.346,799.028
0.00950475,799.036,799.052,799.207
0.010005,798.942,798.957,799.429
0.0105053,799.331,799.109,799.624
0.0110055,799.756,799.408,799.737
0.0115058,799.746,799.677,799.736
0.012006,799.324,799.759,799.628
0.0125063,798.971,799.614,799.449
0.0130065,799.076,799.336,799.256
0.0135068,799.508,799.091,799.107
0.014007,799.78,799.021,799.044
0.0145073,799.594,799.159,799.082
0.0150075,799.17,799.417,799.205
0.0155078,798.986,799.64,799.374
0.016008,799.238,799.7,799.535
0.0165083,799.633,799.568,799.641
0.0170085,799.73,799.329,799.664
0.0175088,799.43,799.126,799.599
0.018009,799.077,799.075,799.47
0.0185093,799.065,799.2,799.318
0.0190095,799.396,799.422,799.19
0.0195098,799.694,799.607,799.123
0.02001,799.629,799.65,799.133
0.0205103,799.284,799.531,799.215
0.0210105,799.05,799.325,799.341
0.0215108,799.183,799.157,799.471
0.022011,799.524,799.121,799.567
0.0225113,799.689,799.235,799.601
0.0230115,799.501,799.425,799.566
0.0235118,799.178,799.578,799.476
0.024012,799.083,799.607,799.36
0.0245123,799.314,799.5,799.253
0.0250125,799.605,799.324,799.187
0.0255128,799.632,799.184,799.18
0.026013,799.373,799.161,799.231
0.0265133,799.123,799.263,799.322
0.0270135,799.159,799.426,799.426
0.0275138,799.433,799.552,799.509
0.028014,799.634,799.571,799.549
0.0285143,799.541,799.474,799.535
0.0290145,799.267,799.324,799.474
0.0295148,799.12,799.209,799.386
0.030015,799.26,799.195,799.298
0.0305153,799.523,799.286,799.238
0.0310155,799.613,799.425,799.22
0.0315158,799.436,799.529,799.249
0.032016,799.196,799.54,799.315
0.0325163,799.161,799.453,799.395
0.0330165,799.363,799.325,799.465
0.0335168,799.572,799.23,799.506
0.034017,799.556,799.223,799.505
0.0345173,799.339,799.304,799.466
0.0350175,799.168,799.423,799.401
0.0355178,799.231,799.509,799.331
0.036018,799.451,799.513,799.277
0.0365183,799.579,799.437,799.255
0.0370185,799.477,799.327,799.269
0.0375188,799.264,799.249,799.314
0.038019,799.18,799.247,799.375
0.0385193,799.314,799.32,799.433
0.0390195,799.511,799.421,799.471
0.0395198,799.551,799.491,799.479
0.04002,799.394,799.491,799.455
0.0405203,799.22,799.423,799.409
0.0410205,799.223,799.329,799.354
0.0415208,799.394,799.266,799.307
0.042021,799.538,799.268,799.283
0.0425213,799.497,799.332,799.287
0.0430215,799.321,799.418,799.317
0.0435218,799.21,799.475,799.363
0.044022,799.284,799.472,799.41
0.0445223,799.456,799.412,799.444
0.0450225,799.533,799.332,799.457
0.0455228,799.431,799.281,799.444
0.046023,799.27,799.286,799.411
0.0465233,799.23,799.342,799.369
0.0470235,799.351,799.415,799.33
0.0475238,799.495,799.462,799.306
0.048024,799.501,799.456,799.304
0.0485243,799.367,799.403,799.323
0.0490245,799.245,799.336,799.356
0.0495248,799.27,799.294,799.393
0.050025,799.41,799.3,799.423
0.0505253,799.506,799.35,799.438
0.0510255,799.453,799.412,799.432
0.0515258,799.315,799.45,799.41
0.052026,799.247,799.442,799.378
0.0525263,799.322,799.396,799.347
0.0530265,799.454,799.339,799.325
0.0535268,799.493,799.305,799.319
0.054027,799.4,799.313,799.329
0.0545273,799.281,799.356,799.353
0.0550275,799.269,799.409,799.382
0.0555278,799.374,799.439,799.408
0.056028,799.476,799.431,799.422
0.0565283,799.462,799.39,799.422
0.0570285,799.352,799.342,799.407
0.0575288,799.269,799.314,799.384
0.058029,799.306,799.323,799.359
0.0585293,799.418,799.361,799.339
0.0590295,799.478,799.406,799.331
0.0595298,799.422,799.43,799.336
0.06003,799.315,799.421,799.353
0.0605303,799.277,799.386,799.375
0.0610305,799.349,799.345,799.396
0.0615308,799.446,799.323,799.41
0.062031,799.462,799.332,799.412
0.0625313,799.38,799.365,799.404
0.0630315,799.295,799.403,799.387
0.0635318,799.301,799.422,799.367
0.064032,799.388,799.413,799.35
0.0645323,799.458,799.382,799.341
0.0650325,799.433,799.348,799.343
0.0655328,799.344,799.33,799.354
0.066033,799.291,799.339,799.37
0.0665333,799.332,799.368,799.387
0.0670335,799.419,799.4,799.4
0.0675338,799.454,799.415,799.404
0.068034,799.4,799.407,799.399
0.0685343,799.319,799.379,799.388
0.0690345,799.303,799.351,799.372
0.0695348,799.366,799.337,799.358
